ID,Type,SKU,Name,Published,Short description,Description,Regular price,Sale price,Categories,Images,Stock,Manage stock,Backorders,Tax status,Tax class,Tags
,simple,AXFORCE-TIGER-5U,AXFORCE TIGER - 5U,1,AXFORCE TIGER - 5U - high-quality Racket in the Badminton category.,AXFORCE TIGER - 5U is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/axforce-tiger-5u.webp,10,yes,no,taxable,standard,
,simple,G-TEK-38-GX,G-TEK 38 GX,1,G-TEK 38 GX - high-quality Racket in the Badminton category.,G-TEK 38 GX is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/G-TEK-38-GX.jpg,10,yes,no,taxable,standard,
,simple,WIND-LITE-STEALTH,WIND LITE STEALTH,1,WIND LITE STEALTH - high-quality Racket in the Badminton category.,WIND LITE STEALTH is a premium Racket designed for Badminton training and matches. Ideal for athletes and sports enthusiasts.,999,,Badminton > Racket,https://lightslategrey-monkey-361905.hostingersite.com/wp-content/uploads/2026/09/Li-NingWindLiteStealth-80GBadmintonRacquet-Blue_2.webp,10,yes,no,taxable,standard,
,simple,10-STAR-SAND-BAG-ANKLE-BELT,10 STAR SAND BAG ANKLE BELT,1,10 STAR SAND BAG ANKLE BELT - high-quality product in the Fitness category.,10 STAR SAND BAG ANKLE BELT is a premium product designed for Fitness training and matches. Ideal for athletes and sports enthusiasts.,999,,Fitness,https://placehold.co/600x600/f5f5f5/333333.png?text=10%20STAR%20SAND%20BAG%20ANKLE%20BELT,10,yes,no,taxable,standard,
,simple,3D-KNEE-SUPPORTER,3D KNEE SUPPORTER,1,3D KNEE SUPPORTER - high-quality product in the Fitness category.,3D KNEE SUPPORTER is a premium product designed for Fitness training and matches. Ideal for athletes and sports enthusiasts.,999,,Fitness,https://placehold.co/600x600/f5f5f5/333333.png?text=3D%20KNEE%20SUPPORTER,10,yes,no,taxable,standard,
,simple,ABD-GAURD-BOYS,ABD GAURD BOYS,1,ABD GAURD BOYS - high-quality product in the Cricket category.,ABD GAURD BOYS is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=ABD%20GAURD%20BOYS,10,yes,no,taxable,standard,
,simple,ABD-GUARD-LADIES-YU,ABD GUARD LADIES YU,1,ABD GUARD LADIES YU - high-quality product in the Cricket category.,ABD GUARD LADIES YU is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=ABD%20GUARD%20LADIES%20YU,10,yes,no,taxable,standard,
,simple,ABDOMN-GAURD-MEN,ABDOMN GAURD MEN,1,ABDOMN GAURD MEN - high-quality product in the Cricket category.,ABDOMN GAURD MEN is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=ABDOMN%20GAURD%20MEN,10,yes,no,taxable,standard,
,simple,ABDOMN-SUPPORTER,ABDOMN SUPPORTER,1,ABDOMN SUPPORTER - high-quality product in the Cricket category.,ABDOMN SUPPORTER is a premium product designed for Cricket training and matches. Ideal for athletes and sports enthusiasts.,999,,Cricket,https://placehold.co/600x600/f5f5f5/333333.png?text=ABDOMN%20SUPPORTER,10,yes,no,taxable,standard,
,simple,ACRALIC-COINS-SPECIAL,ACRALIC COINS SPECIAL,1,ACRALIC COINS SPECIAL - high-quality product in the Carrom category.,ACRALIC COINS SPECIAL is a premium product designed for Carrom training and matches. Ideal for athletes and sports enthusiasts.,999,,Carrom,https://placehold.co/600x600/f5f5f5/333333.png?text=ACRALIC%20COINS%20SPECIAL,10,yes,no,taxable,standard,
